split_group,group_id,label,split
paderborn_K001,paderborn_K001,healthy,test
paderborn_K006,paderborn_K006,healthy,test
paderborn_KA16,paderborn_KA16,faulty,test
paderborn_KA30,paderborn_KA30,faulty,test
paderborn_KI04,paderborn_KI04,faulty,test
paderborn_KI05,paderborn_KI05,faulty,test
paderborn_KI08,paderborn_KI08,faulty,test
paderborn_KI14,paderborn_KI14,faulty,test
paderborn_K002,paderborn_K002,healthy,train
paderborn_K003,paderborn_K003,healthy,train
paderborn_K004,paderborn_K004,healthy,train
paderborn_K005,paderborn_K005,healthy,train
paderborn_KA01,paderborn_KA01,faulty,train
paderborn_KA03,paderborn_KA03,faulty,train
paderborn_KA04,paderborn_KA04,faulty,train
paderborn_KA07,paderborn_KA07,faulty,train
paderborn_KA08,paderborn_KA08,faulty,train
paderborn_KA09,paderborn_KA09,faulty,train
paderborn_KA15,paderborn_KA15,faulty,train
paderborn_KA22,paderborn_KA22,faulty,train
paderborn_KB23,paderborn_KB23,faulty,train
paderborn_KB24,paderborn_KB24,faulty,train
paderborn_KB27,paderborn_KB27,faulty,train
paderborn_KI01,paderborn_KI01,faulty,train
paderborn_KI03,paderborn_KI03,faulty,train
paderborn_KI07,paderborn_KI07,faulty,train
paderborn_KI16,paderborn_KI16,faulty,train
paderborn_KI17,paderborn_KI17,faulty,train
paderborn_KI18,paderborn_KI18,faulty,train
paderborn_KI21,paderborn_KI21,faulty,train
