feature,importance
vibration_vibration_1_mean,0.18311443475573946
vibration_vibration_1_spec_bandwidth,0.10394065648807992
vibration_vibration_1_bandpower_4,0.0855773023851264
vibration_vibration_1_spec_entropy,0.07249030530276562
vibration_vibration_1_spec_centroid,0.06767008830905176
vibration_vibration_1_zero_crossings,0.06350881391879297
vibration_vibration_1_kurtosis,0.052015402340409224
vibration_vibration_1_bandpower_2,0.04634514587087904
vibration_vibration_1_shape_factor,0.04485527904765564
vibration_vibration_1_bandpower_1,0.04182360993921772
vibration_vibration_1_rms,0.035441393739572974
vibration_vibration_1_bandpower_3,0.03191934993574065
vibration_vibration_1_spec_total_power,0.029596813424561944
vibration_vibration_1_p2p,0.02889808730111566
vibration_vibration_1_std,0.025539346789291578
vibration_vibration_1_min,0.018804096695383136
vibration_vibration_1_spec_dominant_freq,0.017442936721002774
vibration_vibration_1_margin_factor,0.015892829777904367
vibration_vibration_1_max,0.01327707690078586
vibration_vibration_1_impulse_factor,0.009115349856797244
